Type;Method;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;input;Mean;Error;StdDev;Median;Min;Max;Allocated
LibraryImport;Empty_IntArray_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[1000];7.9767 ns;0.0273 ns;0.0255 ns;7.9735 ns;7.9324 ns;8.0179 ns;0 B
DllImport;Empty_IntArray_ByValue;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[10];8.2783 ns;0.0061 ns;0.0057 ns;8.2787 ns;8.2688 ns;8.2873 ns;0 B
FuncPointers;Empty_IntArray_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[10];8.4275 ns;0.0232 ns;0.0205 ns;8.4167 ns;8.4128 ns;8.4833 ns;0 B
DllImport;Empty_IntArray_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[1000];8.4631 ns;0.0031 ns;0.0024 ns;8.4637 ns;8.4589 ns;8.4677 ns;0 B
DllImport;Empty_IntArray_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[10];8.4913 ns;0.0104 ns;0.0087 ns;8.4905 ns;8.4718 ns;8.5064 ns;0 B
DllImport;Empty_IntArray_ByValue;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[10];8.7494 ns;0.0046 ns;0.0036 ns;8.7507 ns;8.7429 ns;8.7523 ns;0 B
FuncPointers;Empty_IntArray_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[1000];9.7723 ns;0.0083 ns;0.0074 ns;9.7708 ns;9.7641 ns;9.7864 ns;0 B
FuncPointers;Empty_IntArray_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[1000];10.1497 ns;0.0104 ns;0.0097 ns;10.1526 ns;10.1347 ns;10.1648 ns;0 B
DllImport;Empty_IntArray_ByValue;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[1000];10.4641 ns;0.0031 ns;0.0028 ns;10.4629 ns;10.4613 ns;10.4712 ns;0 B
DllImport;Empty_IntArray_ByValue;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[1000];10.8215 ns;0.0072 ns;0.0060 ns;10.8205 ns;10.8118 ns;10.8318 ns;0 B
DllImport;Empty_IntArray_ByValue;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[10];13.3356 ns;0.0062 ns;0.0052 ns;13.3344 ns;13.3308 ns;13.3498 ns;0 B
DllImport;Empty_IntArray_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[1000];14.6598 ns;0.0270 ns;0.0239 ns;14.6528 ns;14.6401 ns;14.7137 ns;0 B
DllImport;Empty_IntArray_Fixed;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[10];14.8242 ns;0.0222 ns;0.0197 ns;14.8164 ns;14.8075 ns;14.8681 ns;0 B
DllImport;Empty_IntArray_ByValue;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;Default;16;5;Int32[1000];15.4214 ns;0.0316 ns;0.0295 ns;15.4271 ns;15.3699 ns;15.4646 ns;0 B
