Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
CS_Strings_Empty_In;Win32NT;Managed;Empty_String;.NET 6.0;;Workload;Result;1;1;371300;0;0;0;640
CS_Strings_Empty_In;Win32NT;Managed;Empty_String;.NET 8.0;;Workload;Result;1;1;374700;0;0;0;400
CS_Strings_Empty_In;Win32NT;Managed;Empty_String;.NET Framework 4.8;;Workload;Result;1;1;486500;0;0;0;0
CS_Strings_Empty_In;Win32NT;FuncPointers;Empty_String;.NET 6.0;;Workload;Result;1;1;30911300;0;0;0;688
CS_Strings_Empty_In;Win32NT;FuncPointers;Empty_String;.NET 8.0;;Workload;Result;1;1;32176800;0;0;0;448
CS_Strings_Empty_In;Win32NT;LibraryImport;Empty_String;.NET 8.0;;Workload;Result;1;1;32692500;0;0;0;400
CS_Strings_Empty_In;Win32NT;DllImport;Empty_String;.NET 8.0;;Workload;Result;1;1;43190200;0;0;0;400
CS_Strings_Empty_In;Win32NT;DllImport;Empty_String;.NET 6.0;;Workload;Result;1;1;43196100;0;0;0;640
CS_Strings_Empty_In;Win32NT;DllImport;Empty_String;.NET Framework 4.8;;Workload;Result;1;1;43621800;0;0;0;0
