Type;Method;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;input;Mean;Error;Median;Min;Max;Allocated
ManagedCS;FillIntArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;Int32[10];400.0 μs;NA;400.0 μs;400.0 μs;400.0 μs;400 B
ManagedCS;FillIntArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;Int32[10];513.8 μs;NA;513.8 μs;513.8 μs;513.8 μs;640 B
ManagedCS;FillIntArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;Int32[10];591.4 μs;NA;591.4 μs;591.4 μs;591.4 μs;0 B
FuncPointersCS;FillIntArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;Int32[10];"31,333.1 μs";NA;"31,333.1 μs";"31,333.1 μs";"31,333.1 μs";400 B
FuncPointersCS;FillIntArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;Int32[10];"32,087.5 μs";NA;"32,087.5 μs";"32,087.5 μs";"32,087.5 μs";640 B
LibraryImportCS;FillIntArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;Int32[10];"32,837.1 μs";NA;"32,837.1 μs";"32,837.1 μs";"32,837.1 μs";400 B
DllImportCS;FillIntArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;Int32[10];"42,272.1 μs";NA;"42,272.1 μs";"42,272.1 μs";"42,272.1 μs";0 B
DllImportCS;FillIntArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;Int32[10];"42,610.7 μs";NA;"42,610.7 μs";"42,610.7 μs";"42,610.7 μs";640 B
DllImportCS;FillIntArray;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;Int32[10];"42,747.7 μs";NA;"42,747.7 μs";"42,747.7 μs";"42,747.7 μs";400 B
