Type;Method;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;input;Mean;Error;Median;Min;Max;Allocated
ManagedCS;UpdateNonBlittableStruct_Manual;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [49];532.4 μs;NA;532.4 μs;532.4 μs;532.4 μs;480 B
ManagedCS;UpdateNonBlittableStruct_Manual;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [49];670.5 μs;NA;670.5 μs;670.5 μs;670.5 μs;720 B
ManagedCS;UpdateNonBlittableStruct_Manual;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [49];747.0 μs;NA;747.0 μs;747.0 μs;747.0 μs;0 B
DllImportCS;UpdateNonBlittableStruct_Manual;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [49];"18,363.1 μs";NA;"18,363.1 μs";"18,363.1 μs";"18,363.1 μs";712 B
DllImportCS;UpdateNonBlittableStruct_Manual;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [49];"18,537.5 μs";NA;"18,537.5 μs";"18,537.5 μs";"18,537.5 μs";472 B
DllImportCS;UpdateNonBlittableStruct_Manual;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [49];"19,347.6 μs";NA;"19,347.6 μs";"19,347.6 μs";"19,347.6 μs";0 B
FuncPointersCS;UpdateNonBlittableStruct_Manual;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [49];"30,152.1 μs";NA;"30,152.1 μs";"30,152.1 μs";"30,152.1 μs";472 B
FuncPointersCS;UpdateNonBlittableStruct_Manual;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [49];"30,446.4 μs";NA;"30,446.4 μs";"30,446.4 μs";"30,446.4 μs";712 B
LibraryImportCS;UpdateNonBlittableStruct_Manual;False;Default;Default;0.01;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;Default;1;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [49];"30,827.5 μs";NA;"30,827.5 μs";"30,827.5 μs";"30,827.5 μs";472 B
