Type;Method;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;input;Mean;Error;StdDev;Median;Min;Max
DllImportCS;SumIntsInStruct_Ref;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;250.0000 ms;100;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [46];"1,729.2 μs";"1,397.01 μs";"4,119.12 μs";"1,311.6 μs";"1,264.4 μs";"42,507.4 μs"
DllImportCS;SumIntsInStruct_Ref;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;250.0000 ms;100;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [46];"1,724.2 μs";"1,344.63 μs";"3,964.68 μs";"1,327.5 μs";"1,283.0 μs";"40,974.0 μs"
DllImportCS;SumIntsInStruct_Ref;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;250.0000 ms;100;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [46];"2,096.5 μs";"1,378.01 μs";"4,063.10 μs";"1,683.2 μs";"1,653.6 μs";"42,320.5 μs"
FuncPointersCS;SumIntsInStruct_Ref;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;250.0000 ms;100;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [46];"1,901.8 μs";"1,175.31 μs";"3,465.43 μs";"1,554.3 μs";"1,520.2 μs";"36,208.7 μs"
FuncPointersCS;SumIntsInStruct_Ref;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;250.0000 ms;100;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [46];"1,861.7 μs";"1,027.69 μs";"3,030.16 μs";"1,558.2 μs";"1,517.3 μs";"31,859.0 μs"
LibraryImportCS;SumIntsInStruct_Ref;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;250.0000 ms;100;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [46];"1,611.9 μs";"1,174.81 μs";"3,463.96 μs";"1,264.2 μs";"1,225.6 μs";"35,904.4 μs"
ManagedCS;SumIntsInStruct_Ref;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;250.0000 ms;100;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [46];378.1 μs;1.58 μs;4.67 μs;378.2 μs;365.7 μs;393.0 μs
ManagedCS;SumIntsInStruct_Ref;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;250.0000 ms;100;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [46];359.6 μs;2.24 μs;6.61 μs;359.5 μs;343.8 μs;401.4 μs
ManagedCS;SumIntsInStruct_Ref;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;1;1;250.0000 ms;100;Default;Default;Default;Default;Default;ColdStart;1;5;PInvo(...)truct [46];499.7 μs;1.54 μs;4.54 μs;498.9 μs;490.7 μs;514.4 μs
