Type;Method;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Min;Max
DllImport;MultiplyInt;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;9.435 ns;0.0046 ns;0.0038 ns;9.436 ns;9.430 ns;9.440 ns
DllImport;MultiplyInt;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;9.582 ns;0.1822 ns;0.1789 ns;9.478 ns;9.424 ns;9.846 ns
DllImport;MultiplyInt;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;14.939 ns;0.2934 ns;0.3492 ns;14.718 ns;14.695 ns;15.654 ns
DllImport;Empty_VoidSLE;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;13.817 ns;0.0177 ns;0.0157 ns;13.809 ns;13.800 ns;13.843 ns
DllImport;Empty_VoidSLE;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;14.631 ns;0.3213 ns;0.3700 ns;14.808 ns;14.078 ns;15.078 ns
DllImport;Empty_VoidSLE;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;15.651 ns;0.0629 ns;0.0525 ns;15.640 ns;15.592 ns;15.783 ns
DllImport;Empty_Void;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;7.006 ns;0.0178 ns;0.0139 ns;7.000 ns;6.999 ns;7.047 ns
DllImport;Empty_Void;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;6.849 ns;0.0022 ns;0.0017 ns;6.849 ns;6.848 ns;6.854 ns
DllImport;Empty_Void;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;13.288 ns;0.0248 ns;0.0194 ns;13.289 ns;13.245 ns;13.315 ns
LibraryImport;Empty_VoidSLE;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;14.550 ns;0.0158 ns;0.0148 ns;14.552 ns;14.531 ns;14.578 ns
