OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Result;3;13363360;8.78
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Result;4;13363360;8.8
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Result;5;13363360;8.82
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Result;6;13363360;8.77
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Result;7;13363360;8.77
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Result;8;13363360;8.81
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Result;9;13363360;9.01
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Result;10;13363360;8.81
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Result;11;13363360;8.77
Win32NT;DllImport;Empty_IntArray;.NET 6.0;array=Int32[1000];Workload;Result;12;13363360;8.77
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Jitting;1;1;278500
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Jitting;1;1;1117500
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Jitting;2;16;15518.75
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Jitting;2;16;16293.75
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Pilot;1;16;68.75
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Pilot;2;4363648;15.07
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Pilot;3;19907168;12.93
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Pilot;4;23208800;10.71
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Pilot;5;28003888;11.43
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Pilot;6;26236480;10.6
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Pilot;7;28313280;10.52
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Pilot;8;28508464;10.54
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Workload;Pilot;9;28453232;10.55
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Warmup;1;28453232;2.81
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Warmup;2;28453232;2.77
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Warmup;3;28453232;2.61
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Warmup;4;28453232;2.07
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Warmup;5;28453232;2.08
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Warmup;6;28453232;2.07
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Warmup;7;28453232;2.08
Win32NT;DllImport;Empty_IntArray_Fixed;.NET 6.0;array=Int32[1000];Overhead;Warmup;8;28453232;2.07
