Type;Method;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Min;Max
Managed;ConstantInt;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;0.6781 ns;0.0011 ns;0.0009 ns;0.6780 ns;0.6764 ns;0.6798 ns
DllImport;ConstantInt;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;7.5180 ns;0.1073 ns;0.1003 ns;7.5195 ns;7.3570 ns;7.6578 ns
FuncPointers;ConstantInt;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;9.1744 ns;0.0991 ns;0.0927 ns;9.1476 ns;9.0865 ns;9.3828 ns
Managed;ConstantInt;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;0.7097 ns;0.0180 ns;0.0168 ns;0.6992 ns;0.6976 ns;0.7411 ns
DllImport;ConstantInt;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;7.2571 ns;0.0230 ns;0.0204 ns;7.2525 ns;7.2362 ns;7.3014 ns
FuncPointers;ConstantInt;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;9.1746 ns;0.0963 ns;0.0901 ns;9.1509 ns;9.0993 ns;9.3412 ns
LibraryImport;ConstantInt;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;9.4463 ns;0.0143 ns;0.0111 ns;9.4408 ns;9.4385 ns;9.4684 ns
Managed;ConstantInt;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;1.0075 ns;0.0055 ns;0.0043 ns;1.0054 ns;1.0036 ns;1.0161 ns
DllImport;ConstantInt;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;300.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;12.7646 ns;0.0458 ns;0.0358 ns;12.7461 ns;12.7423 ns;12.8456 ns
