Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value
Managed;ConstantInt;.NET 6.0;;Overhead;Jitting;1;1;304400
Managed;ConstantInt;.NET 6.0;;Workload;Jitting;1;1;224800
Managed;ConstantInt;.NET 6.0;;Overhead;Jitting;2;16;28912.5
Managed;ConstantInt;.NET 6.0;;Workload;Jitting;2;16;28606.25
Managed;ConstantInt;.NET 6.0;;Workload;Pilot;1;16;31.25
Managed;ConstantInt;.NET 6.0;;Workload;Pilot;2;9600000;3.7
Managed;ConstantInt;.NET 6.0;;Workload;Pilot;3;81005376;3.27
Managed;ConstantInt;.NET 6.0;;Workload;Pilot;4;91627936;2.77
Managed;ConstantInt;.NET 6.0;;Workload;Pilot;5;108350208;2.79
Managed;ConstantInt;.NET 6.0;;Workload;Pilot;6;107448928;2.77
Managed;ConstantInt;.NET 6.0;;Workload;Pilot;7;108232720;2.83
Managed;ConstantInt;.NET 6.0;;Workload;Pilot;8;105965760;2.77
Managed;ConstantInt;.NET 6.0;;Workload;Pilot;9;108233072;2.83
Managed;ConstantInt;.NET 6.0;;Overhead;Warmup;1;108233072;2.57
Managed;ConstantInt;.NET 6.0;;Overhead;Warmup;2;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Warmup;3;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Warmup;4;108233072;2.1
Managed;ConstantInt;.NET 6.0;;Overhead;Warmup;5;108233072;2.1
Managed;ConstantInt;.NET 6.0;;Overhead;Warmup;6;108233072;2.1
Managed;ConstantInt;.NET 6.0;;Overhead;Warmup;7;108233072;2.1
Managed;ConstantInt;.NET 6.0;;Overhead;Warmup;8;108233072;2.13
Managed;ConstantInt;.NET 6.0;;Overhead;Warmup;9;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Warmup;10;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;1;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;2;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;3;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;4;108233072;2.15
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;5;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;6;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;7;108233072;2.14
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;8;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;9;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;10;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;11;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;12;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;13;108233072;2.09
Managed;ConstantInt;.NET 6.0;;Overhead;Actual;14;108233072;2.09
