Type;Method;AnalyzeLaunchVariance;EvaluateOverhead;MaxAbsoluteError;MaxRelativeError;MinInvokeCount;MinIterationTime;OutlierMode;Affinity;EnvironmentVariables;Jit;LargeAddressAware;Platform;PowerPlanMode;Runtime;AllowVeryLargeObjects;Concurrent;CpuGroups;Force;HeapAffinitizeMask;HeapCount;NoAffinitize;RetainVm;Server;Arguments;BuildConfiguration;Clock;EngineFactory;NuGetReferences;IsMutator;InvocationCount;IterationCount;IterationTime;LaunchCount;MaxIterationCount;MaxWarmupIterationCount;MemoryRandomization;MinIterationCount;MinWarmupIterationCount;RunStrategy;UnrollFactor;WarmupCount;Mean;Error;StdDev;Median;Min;Max
DllImport;Empty_Void;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;9.0867 ns;0.0093 ns;0.0087 ns;9.0843 ns;9.0766 ns;9.1049 ns
DllImport;Empty_Void;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;9.0785 ns;0.0067 ns;0.0056 ns;9.0791 ns;9.0691 ns;9.0863 ns
DllImport;Empty_Void;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;14.3759 ns;0.0263 ns;0.0246 ns;14.3774 ns;14.3244 ns;14.4125 ns
FuncPointers;Empty_Void;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;8.7246 ns;0.0044 ns;0.0037 ns;8.7255 ns;8.7199 ns;8.7319 ns
FuncPointers;Empty_Void;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;8.7289 ns;0.0053 ns;0.0042 ns;8.7280 ns;8.7247 ns;8.7407 ns
LibraryImport;Empty_Void;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;9.0751 ns;0.0015 ns;0.0012 ns;9.0749 ns;9.0733 ns;9.0773 ns
Managed;Empty_Void;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 6.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;0.6928 ns;0.0007 ns;0.0006 ns;0.6927 ns;0.6915 ns;0.6942 ns
Managed;Empty_Void;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET 8.0;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;0.6984 ns;0.0003 ns;0.0003 ns;0.6984 ns;0.6980 ns;0.6988 ns
Managed;Empty_Void;False;Default;Default;Default;Default;Default;Default;111111111111;Empty;RyuJit;Default;X64;8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c;.NET Framework 4.8;False;True;False;True;Default;Default;False;False;False;Default;Default;Default;Default;Default;Default;Default;Default;250.0000 ms;Default;Default;Default;Default;Default;Default;Default;16;5;1.0710 ns;0.0013 ns;0.0011 ns;1.0706 ns;1.0698 ns;1.0737 ns
