Category;OS;Target_Type;Target_Method;Job_Runtime;Params;Measurement_IterationMode;Measurement_IterationStage;Measurement_IterationIndex;Measurement_Operations;Measurement_Value;Gen_0;Gen_1;Gen_2;Allocated_Bytes
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET 6.0;;Workload;Result;14;268435456;1.05;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET 6.0;;Workload;Result;15;268435456;1.05;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;1;268435456;1.06;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;2;268435456;1.06;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;3;268435456;1.07;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;4;268435456;1.06;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;5;268435456;1.06;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;6;268435456;1.07;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;7;268435456;1.07;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;8;268435456;1.07;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;9;268435456;1.07;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;10;268435456;1.07;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;11;268435456;1.06;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;12;268435456;1.06;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;13;268435456;1.06;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;14;268435456;1.07;0;0;0;0
Strings_Empty_In;Win32NT;Managed;EmptyString;.NET Framework 4.8;;Workload;Result;15;268435456;1.06;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;1;67108864;12.68;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;2;67108864;12.68;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;3;67108864;12.68;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;4;67108864;12.67;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;5;67108864;12.7;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;6;67108864;12.7;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;7;67108864;12.68;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;8;67108864;12.69;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;9;67108864;12.7;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;10;67108864;12.68;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;11;67108864;12.69;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;12;67108864;12.71;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;13;67108864;12.67;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;14;67108864;12.67;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 8.0;;Workload;Result;15;67108864;12.7;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;1;33554432;12.98;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;2;33554432;12.88;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;3;33554432;12.94;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;4;33554432;12.92;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;5;33554432;12.94;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;6;33554432;12.93;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;7;33554432;12.84;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;8;33554432;12.89;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;9;33554432;12.89;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;10;33554432;12.84;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;11;33554432;12.87;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;12;33554432;12.93;0;0;0;0
Strings_Empty_In;Win32NT;DllImport;StringLength_Utf16;.NET 6.0;;Workload;Result;13;33554432;12.85;0;0;0;0
